Year,Province,Race,Sex,Province-Sex,Population,Arrested,Race % of Population,Race % Arrested,Race disparity Index
2016,National,Black,Female,National-Female,"927,465",72,4.33%,6.13%,0.417639889
2016,BC,Black,Female,BC-Female,"42,005",0,1.47%,0.00%,-1
2016,AB,Black,Female,AB-Female,"83,955",1,3.46%,0.40%,-0.883769489
2016,SK,Black,Female,SK-Female,"9,495",2,1.45%,2.47%,0.69835976
2016,MB,Black,Female,MB-Female,"19,335",0,2.47%,0.00%,-1
2016,ON,Black,Female,ON-Female,"459,775",57,5.53%,17.12%,2.094457581
2016,QC,Black,Female,QC-Female,"293,445",6,6.06%,3.05%,-0.49740199
2016,NB,Black,Female,NB-Female,"4,400",0,0.92%,0.00%,-1
2016,NL,Black,Female,NL-Female,1670,0,0.52%,0.00%,-1
2016,PE,Black,Female,PE-Female,675,0,0.75%,0.00%,-1
2016,NS,Black,Female,NS-Female,"11,735",6,1.93%,5.50%,1.854246882
2016,NW,Black,Female,NW-Female,440,0,1.72%,0.00%,-1
2016,YU,Black,Female,YU-Female,280,0,1.20%,0.00%,-1
2016,NU,Black,Female,NU-Female,255,0,1.26%,0.00%,-1
2016,National,White,Female,National-Female,"15,878,440",641,74.06%,54.60%,-0.262807081
2016,BC,White,Female,BC-Female,"1,910,910",83,66.95%,54.97%,-0.178988732
2016,AB,White,Female,AB-Female,"1,756,745",98,72.30%,39.36%,-0.455642687
2016,SK,White,Female,SK-Female,"498,695",24,76.36%,29.63%,-0.611965006
2016,MB,White,Female,MB-Female,"544,045",6,69.64%,30.00%,-0.569190968
2016,ON,White,Female,ON-Female,"5,807,910",178,69.87%,53.45%,-0.235011061
2016,QC,White,Female,QC-Female,"3,986,430",146,82.32%,74.11%,-0.099746244
2016,NB,White,Female,NB-Female,"437,385",18,91.76%,78.26%,-0.147116932
2016,NL,White,Female,NL-Female,"284,000",7,88.32%,100.00%,0.13221831
2016,PE,White,Female,PE-Female,"83,050",1,92.44%,100.00%,0.081757977
2016,NS,White,Female,NS-Female,"534,615",79,87.86%,72.48%,-0.175084754
2016,NW,White,Female,NW-Female,"12,800",0,50.09%,0.00%,-1
2016,YU,White,Female,YU-Female,"17,030",1,72.70%,50.00%,-0.3122431
2016,NU,White,Female,NU-Female,4835,0,23.98%,0.00%,-1
2016,National,Aboriginal,Female,National-Female,"1,103,840",353,5.15%,30.07%,4.839821002
2016,BC,Aboriginal,Female,BC-Female,"156,280",53,5.48%,35.10%,5.410379273
2016,AB,Aboriginal,Female,AB-Female,"156,075",128,6.42%,51.41%,7.002825333
2016,SK,Aboriginal,Female,SK-Female,"91,565",50,14.02%,61.73%,3.402862973
2016,MB,Aboriginal,Female,MB-Female,"115,770",11,14.82%,55.00%,2.711632979
2016,ON,Aboriginal,Female,ON-Female,"271,135",55,3.26%,16.52%,4.063282251
2016,QC,Aboriginal,Female,QC-Female,"186,985",31,3.86%,15.74%,3.075220888
2016,NB,Aboriginal,Female,NB-Female,"23,955",5,5.03%,21.74%,3.32568312
2016,NL,Aboriginal,Female,NL-Female,"30,385",0,9.45%,0.00%,-1
2016,PE,Aboriginal,Female,PE-Female,"2,640",0,2.94%,0.00%,-1
2016,NS,Aboriginal,Female,NS-Female,"39,115",18,6.43%,16.51%,1.568931649
2016,NW,Aboriginal,Female,NW-Female,"10,530",0,41.21%,0.00%,-1
2016,YU,Aboriginal,Female,YU-Female,"4,325",1,18.46%,50.00%,1.708092486
