year,PRUID,province,aboriginal_disparity_index,black_disparity_index,other_disparity_index,white_disparity_index
2016,59,BC,4.017074763,1.37668369,-0.508595651,-0.16123754
2016,24,QC,1.890491732,-0.034499871,-0.258145752,-0.059577123
2016,62,NU,0.397107166,-1,-1,-1
2016,11,PE,-1,-1,-1,0.082519136
2016,47,SK,3.428393434,0.172063156,-0.151802042,-0.60139413
2016,60,YU,1.39010989,-1,-1,-0.227551764
2016,46,MB,2.747191563,0.374972512,-0.376268418,-0.518800753
2016,35,ON,2.817844414,2.640484745,-0.460718991,-0.192487152
2016,13,NB,1.457560102,6.763774591,0.566768449,-0.165297014
2016,61,NW,1.483832046,-1,-1,-1
2016,48,AB,4.057298866,0.295747038,-0.444801369,-0.25610764
2016,10,NL,0.129938424,-1,0.468869777,-0.016748997
2016,12,NS,0.654884868,5.018428226,0.185546141,-0.166516046
2016,99,National,3.334067045,1.007772723,-0.465113459,-0.183508514
