year,PRUID,province,race,sex,province_sex,population,arrested,race_percent_population,race_percent_arrested,race_disparity_index
2016,99,National,Black,Female,National-Female,"927,465",72,0.04,0.06,0.417639889
2016,59,BC,Black,Female,BC-Female,"42,005",0,0.01,0.00,-1
2016,48,AB,Black,Female,AB-Female,"83,955",1,0.03,0.00,-0.883769489
2016,47,SK,Black,Female,SK-Female,"9,495",2,0.01,0.02,0.69835976
2016,46,MB,Black,Female,MB-Female,"19,335",0,0.02,0.00,-1
2016,35,ON,Black,Female,ON-Female,"459,775",57,0.06,0.17,2.094457581
2016,24,QC,Black,Female,QC-Female,"293,445",6,0.06,0.03,-0.49740199
2016,13,NB,Black,Female,NB-Female,"4,400",0,0.01,0.00,-1
2016,10,NL,Black,Female,NL-Female,1670,0,0.01,0.00,-1
2016,11,PE,Black,Female,PE-Female,675,0,0.01,0.00,-1
2016,12,NS,Black,Female,NS-Female,"11,735",6,0.02,0.06,1.854246882
2016,61,NW,Black,Female,NW-Female,440,0,0.02,0.00,-1
2016,60,YU,Black,Female,YU-Female,280,0,0.01,0.00,-1
2016,62,NU,Black,Female,NU-Female,255,0,0.01,0.00,-1
2016,99,National,White,Female,National-Female,"15,878,440",641,0.74,0.55,-0.262807081
2016,59,BC,White,Female,BC-Female,"1,910,910",83,0.67,0.55,-0.178988732
2016,48,AB,White,Female,AB-Female,"1,756,745",98,0.72,0.39,-0.455642687
2016,47,SK,White,Female,SK-Female,"498,695",24,0.76,0.30,-0.611965006
2016,46,MB,White,Female,MB-Female,"544,045",6,0.70,0.30,-0.569190968
2016,35,ON,White,Female,ON-Female,"5,807,910",178,0.70,0.53,-0.235011061
2016,24,QC,White,Female,QC-Female,"3,986,430",146,0.82,0.74,-0.099746244
2016,13,NB,White,Female,NB-Female,"437,385",18,0.92,0.78,-0.147116932
2016,10,NL,White,Female,NL-Female,"284,000",7,0.88,1.00,0.13221831
2016,11,PE,White,Female,PE-Female,"83,050",1,0.92,1.00,0.081757977
2016,12,NS,White,Female,NS-Female,"534,615",79,0.88,0.72,-0.175084754
2016,61,NW,White,Female,NW-Female,"12,800",0,0.50,0.00,-1
2016,60,YU,White,Female,YU-Female,"17,030",1,0.73,0.50,-0.3122431
2016,62,NU,White,Female,NU-Female,4835,0,0.24,0.00,-1
2016,99,National,Aboriginal,Female,National-Female,"1,103,840",353,0.05,0.30,4.839821002
2016,59,BC,Aboriginal,Female,BC-Female,"156,280",53,0.05,0.35,5.410379273
2016,48,AB,Aboriginal,Female,AB-Female,"156,075",128,0.06,0.51,7.002825333
2016,47,SK,Aboriginal,Female,SK-Female,"91,565",50,0.14,0.62,3.402862973
2016,46,MB,Aboriginal,Female,MB-Female,"115,770",11,0.15,0.55,2.711632979
2016,35,ON,Aboriginal,Female,ON-Female,"271,135",55,0.03,0.17,4.063282251
2016,24,QC,Aboriginal,Female,QC-Female,"186,985",31,0.04,0.16,3.075220888
2016,13,NB,Aboriginal,Female,NB-Female,"23,955",5,0.05,0.22,3.32568312
2016,10,NL,Aboriginal,Female,NL-Female,"30,385",0,0.09,0.00,-1
2016,11,PE,Aboriginal,Female,PE-Female,"2,640",0,0.03,0.00,-1
2016,12,NS,Aboriginal,Female,NS-Female,"39,115",18,0.06,0.17,1.568931649
2016,61,NW,Aboriginal,Female,NW-Female,"10,530",0,0.41,0.00,-1
2016,60,YU,Aboriginal,Female,YU-Female,"4,325",1,0.18,0.50,1.708092486
2016,62,NU,Aboriginal,Female,NU-Female,"15,075",1,0.75,1.00,0.337645108
2016,99,National,Other Minority,Female,National-Female,"3,528,985",108,0.16,0.09,-0.441137588
2016,59,BC,Other Minority,Female,BC-Female,"745,030",15,0.26,0.10,-0.619435077
2016,48,AB,Other Minority,Female,AB-Female,"433,000",22,0.18,0.09,-0.504205737
2016,47,SK,Other Minority,Female,SK-Female,"53,345",5,0.08,0.06,-0.24426254
2016,46,MB,Other Minority,Female,MB-Female,"102,115",3,0.13,0.15,0.147625226
2016,35,ON,Other Minority,Female,ON-Female,"1,773,060",43,0.21,0.13,-0.394659049
2016,24,QC,Other Minority,Female,QC-Female,"375,560",14,0.08,0.07,-0.083684709
2016,13,NB,Other Minority,Female,NB-Female,"10,920",0,0.02,0.00,-1
2016,10,NL,Other Minority,Female,NL-Female,5495,0,0.02,0.00,-1
2016,11,PE,Other Minority,Female,PE-Female,3475,0,0.04,0.00,-1
2016,12,NS,Other Minority,Female,NS-Female,"23,020",6,0.04,0.06,0.455021162
2016,61,NW,Other Minority,Female,NW-Female,1785,0,0.07,0.00,-1
2016,60,YU,Other Minority,Female,YU-Female,1790,0,0.08,0.00,-1
2016,62,NU,Other Minority,Female,NU,695,0,0.02,0.00,-1
2016,99,National,Black,Male,National-Male,"889,615","1,896",0.04,0.09,1.045397305
2016,59,BC,Black,Male,BC-Male,"42,985",121,0.02,0.04,1.409009957
2016,48,AB,Black,Male,AB-Male,"88,670",144,0.04,0.05,0.360883832
2016,47,SK,Black,Male,SK-Male,"10,485",24,0.02,0.02,0.082338444
2016,46,MB,Black,Male,MB-Male,"20,335",40,0.03,0.04,0.347058728
2016,35,ON,Black,Male,ON-Male,"416,920","1,043",0.05,0.20,2.760855812
2016,24,QC,Black,Male,QC-Male,"290,845",335,0.06,0.06,-0.02595632
2016,13,NB,Black,Male,NB-Male,"4,580",95,0.01,0.08,6.568297154
2016,10,NL,Black,Male,NL-Male,1925,0,0.01,0.00,-1
2016,11,PE,Black,Male,PE-Male,625,0,0.01,0.00,-1
2016,12,NS,Black,Male,NS-Male,"11,140",94,0.02,0.13,5.424309279
2016,61,NW,Black,Male,NW-Male,560,0,0.02,0.00,-1
2016,60,YU,Black,Male,YU-Male,235,0,0.01,0.00,-1
2016,62,NU,Black,Male,NU-Male,305,0,0.01,0.00,-1
2016,99,National,White,Male,National-Male,"15,433,410","13,150",0.75,0.61,-0.182278715
2016,59,BC,White,Male,BC-Male,"1,868,865","1,816",0.68,0.57,-0.168412277
2016,48,AB,White,Male,AB-Male,"1,779,015","1,607",0.73,0.55,-0.243042428
2016,47,SK,White,Male,SK-Male,"491,005",414,0.77,0.31,-0.601310586
2016,46,MB,White,Male,MB-Male,"529,845",373,0.70,0.34,-0.517907131
2016,35,ON,White,Male,ON-Male,"5,564,155","2,987",0.70,0.57,-0.192967347
2016,24,QC,White,Male,QC-Male,"3,901,605","4,338",0.83,0.78,-0.059754039
2016,13,NB,White,Male,NB-Male,"416,330",953,0.92,0.76,-0.164790852
2016,10,NL,White,Male,NL-Male,"271,100",92,0.88,0.86,-0.026470213
2016,11,PE,White,Male,PE-Male,"77,635",21,0.92,1.00,0.0833387
2016,12,NS,White,Male,NS-Male,"497,725",546,0.88,0.73,-0.16480677
2016,61,NW,White,Male,NW-Male,"13,530",0,0.52,0.00,-1
2016,60,YU,White,Male,YU-Male,"17,300",3,0.75,0.60,-0.20283237
2016,62,NU,White,Male,NU-Male,5305,0,0.25,0.00,-1
2016,99,National,Aboriginal,Male,National-Male,"1,026,675","4,628",0.05,0.21,3.326152323
2016,59,BC,Aboriginal,Male,BC-Male,"146,530",857,0.05,0.27,4.005234485
2016,48,AB,Aboriginal,Male,AB-Male,"147,735",868,0.06,0.30,3.923473442
2016,47,SK,Aboriginal,Male,SK-Male,"85,790",822,0.13,0.61,3.53059694
2016,46,MB,Aboriginal,Male,MB-Male,"109,465",608,0.14,0.55,2.803636564
2016,35,ON,Aboriginal,Male,ON-Male,"247,160",627,0.03,0.12,2.813681834
2016,24,QC,Aboriginal,Male,QC-Male,"172,440",597,0.04,0.11,1.927733519
2016,13,NB,Aboriginal,Male,NB-Male,"22,625",151,0.05,0.12,1.435165081
2016,10,NL,Aboriginal,Male,NL-Male,"28,165",12,0.09,0.11,0.222256695
2016,11,PE,Aboriginal,Male,PE-Male,"2,325",0,0.03,0.00,-1
2016,12,NS,Aboriginal,Male,NS-Male,"34,920",71,0.06,0.10,0.547989076
2016,61,NW,Aboriginal,Male,NW-Male,"10,185",10,0.39,1.00,1.542955326
2016,60,YU,Aboriginal,Male,YU-Male,"4,000",2,0.17,0.40,1.2985
2016,62,NU,Aboriginal,Male,NU-Male,"15,340",3,0.72,1.00,0.385919166
2016,99,National,Other Minority,Male,National-Male,"3,326,360","1,870",0.16,0.09,-0.460472233
2016,59,BC,Other Minority,Male,BC-Male,"678,455",404,0.25,0.13,-0.490398763
2016,48,AB,Other Minority,Male,AB-Male,"417,245",284,0.17,0.10,-0.429622389
2016,47,SK,Other Minority,Male,SK-Male,"53,900",96,0.08,0.07,-0.157824224
2016,46,MB,Other Minority,Male,MB-Male,"101,180",90,0.13,0.08,-0.390857993
2016,35,ON,Other Minority,Male,ON-Male,"1,670,275",597,0.21,0.11,-0.462669548
2016,24,QC,Other Minority,Male,QC-Male,"358,115",315,0.08,0.06,-0.256153593
2016,13,NB,Other Minority,Male,NB-Male,"11,095",47,0.02,0.04,0.545648011
2016,10,NL,Other Minority,Male,NL-Male,5765,3,0.02,0.03,0.492838674
