year,province,race,in_custody_community,avg_length
2012,National,Black,In Custody,1584.018024
2012,BC,Black,In Custody,1501.666667
2012,AB,Black,In Custody,1512.096154
2012,SK,Black,In Custody,1272.782609
2012,MB,Black,In Custody,1929
2012,ON,Black,In Custody,1571.650286
2012,QC,Black,In Custody,1719.035433
2012,NB,Black,In Custody,1461.976744
2012,NS,Black,In Custody,1622.648649
2012,National,White,In Custody,1492.967977
2012,BC,White,In Custody,1437.764756
2012,AB,White,In Custody,1499.768477
2012,SK,White,In Custody,1294.954984
2012,MB,White,In Custody,1420.183267
2012,ON,White,In Custody,1349.486813
2012,QC,White,In Custody,1723.672484
2012,NB,White,In Custody,1357.654939
2012,NL,White,In Custody,1105.645161
2012,PE,White,In Custody,2192
2012,NS,White,In Custody,1337.142157
2012,National,Aboriginal,In Custody,1415.290802
2012,BC,Aboriginal,In Custody,1331.83959
2012,AB,Aboriginal,In Custody,1456.980867
2012,SK,Aboriginal,In Custody,1479.208075
2012,MB,Aboriginal,In Custody,1432.163043
2012,ON,Aboriginal,In Custody,1332.101695
2012,QC,Aboriginal,In Custody,1431.323155
2012,NB,Aboriginal,In Custody,1517.929204
2012,NL,Aboriginal,In Custody,1389
2012,NS,Aboriginal,In Custody,1298.345455
2012,NW,Aboriginal,In Custody,1057.6
2012,National,Other Minority,In Custody,1522.167678
2012,BC,Other Minority,In Custody,1489.774775
2012,AB,Other Minority,In Custody,1438.404494
2012,SK,Other Minority,In Custody,1358.858268
2012,MB,Other Minority,In Custody,1694.928571
2012,ON,Other Minority,In Custody,1612.312369
2012,QC,Other Minority,In Custody,1485.140625
2012,NB,Other Minority,In Custody,1460.03125
2012,NS,Other Minority,In Custody,1364.5
2013,National,Black,In Custody,1574.324306
2013,BC,Black,In Custody,1490
2013,AB,Black,In Custody,1512.666667
2013,SK,Black,In Custody,1287.772727
2013,MB,Black,In Custody,1731.727273
2013,ON,Black,In Custody,1563.646714
2013,QC,Black,In Custody,1715.543933
2013,NB,Black,In Custody,1460.95
2013,NS,Black,In Custody,1583.957143
2013,National,White,In Custody,1487.145899
2013,BC,White,In Custody,1428.125569
