Year,Province,Race,Sex,In Custody / Community,Avg Length,Arrested
2012,National,Black,Female,In Custody,"1,604",58
2012,BC,Black,Female,In Custody,0,0
2012,AB,Black,Female,In Custody,"1,218",3
2012,SK,Black,Female,In Custody,0,0
2012,MB,Black,Female,In Custody,0,0
2012,ON,Black,Female,In Custody,"1,724",47
2012,QC,Black,Female,In Custody,"1,104",5
2012,NB,Black,Female,In Custody,0,0
2012,NL,Black,Female,In Custody,0,0
2012,PE,Black,Female,In Custody,0,0
2012,NS,Black,Female,In Custody,942,3
2012,NW,Black,Female,In Custody,0,0
2012,YU,Black,Female,In Custody,0,0
2012,NU,Black,Female,In Custody,0,0
2012,National,White,Female,In Custody,"1,062",303
2012,BC,White,Female,In Custody,792,35
2012,AB,White,Female,In Custody,"1,142",48
2012,SK,White,Female,In Custody,"1,063",17
2012,MB,White,Female,In Custody,0,0
2012,ON,White,Female,In Custody,"1,121",80
2012,QC,White,Female,In Custody,"1,105",70
2012,NB,White,Female,In Custody,0,0
2012,NL,White,Female,In Custody,0,0
2012,PE,White,Female,In Custody,0,0
2012,NS,White,Female,In Custody,"1,022",53
2012,NW,White,Female,In Custody,0,0
2012,YU,White,Female,In Custody,0,0
2012,NU,White,Female,In Custody,0,0
2012,National,Aboriginal,Female,In Custody,"1,131",205
2012,BC,Aboriginal,Female,In Custody,"1,326",33
2012,AB,Aboriginal,Female,In Custody,"1,214",85
2012,SK,Aboriginal,Female,In Custody,908,25
2012,MB,Aboriginal,Female,In Custody,0,0
2012,ON,Aboriginal,Female,In Custody,802,36
2012,QC,Aboriginal,Female,In Custody,"1,241",11
2012,NB,Aboriginal,Female,In Custody,0,0
2012,NL,Aboriginal,Female,In Custody,0,0
2012,PE,Aboriginal,Female,In Custody,0,0
2012,NS,Aboriginal,Female,In Custody,"1,313",15
2012,NW,Aboriginal,Female,In Custody,0,0
2012,YU,Aboriginal,Female,In Custody,0,0
2012,NU,Aboriginal,Female,In Custody,0,0
2012,National,Other Minority,Female,In Custody,"1,481",50
2012,BC,Other Minority,Female,In Custody,"1,507",5
2012,AB,Other Minority,Female,In Custody,"1,518",10
2012,SK,Other Minority,Female,In Custody,882,3
2012,MB,Other Minority,Female,In Custody,0,0
2012,ON,Other Minority,Female,In Custody,"1,788",23
2012,QC,Other Minority,Female,In Custody,765,8
2012,NB,Other Minority,Female,In Custody,0,0
2012,NL,Other Minority,Female,In Custody,0,0
2012,PE,Other Minority,Female,In Custody,0,0
2012,NS,Other Minority,Female,In Custody,"1,461",1
2012,NW,Other Minority,Female,In Custody,0,0
2012,YU,Other Minority,Female,In Custody,0,0
2012,NU,Other Minority,Female,In Custody,0,0
2012,National,Black,Male,In Custody,"1,583","1,440"
2012,BC,Black,Male,In Custody,"1,502",69
2012,AB,Black,Male,In Custody,"1,521",101
2012,SK,Black,Male,In Custody,"1,273",23
2012,MB,Black,Male,In Custody,"1,929",13
2012,ON,Black,Male,In Custody,"1,563",828
2012,QC,Black,Male,In Custody,"1,731",249
2012,NB,Black,Male,In Custody,"1,462",86
2012,NL,Black,Male,In Custody,0,0
2012,PE,Black,Male,In Custody,0,0
2012,NS,Black,Male,In Custody,"1,651",71
2012,NW,Black,Male,In Custody,0,0
2012,YU,Black,Male,In Custody,0,0
2012,NU,Black,Male,In Custody,0,0
2012,National,White,Male,In Custody,"1,508","8,628"
2012,BC,White,Male,In Custody,"1,458","1,134"
2012,AB,White,Male,In Custody,"1,516","1,075"
2012,SK,White,Male,In Custody,"1,308",294
2012,MB,White,Male,In Custody,"1,420",251
2012,ON,White,Male,In Custody,"1,358","2,157"
2012,QC,White,Male,In Custody,"1,740","2,623"
2012,NB,White,Male,In Custody,"1,358",739
2012,NL,White,Male,In Custody,0,0
2012,PE,White,Male,In Custody,0,0
2012,NS,White,Male,In Custody,"1,384",355
2012,NW,White,Male,In Custody,0,0
2012,YU,White,Male,In Custody,0,0
2012,NU,White,Male,In Custody,0,0
2012,National,Aboriginal,Male,In Custody,"1,433","3,361"
2012,BC,Aboriginal,Male,In Custody,"1,332",553
2012,AB,Aboriginal,Male,In Custody,"1,487",699
2012,SK,Aboriginal,Male,In Custody,"1,502",619
2012,MB,Aboriginal,Male,In Custody,"1,432",460
2012,ON,Aboriginal,Male,In Custody,"1,371",495
2012,QC,Aboriginal,Male,In Custody,"1,437",382
2012,NB,Aboriginal,Male,In Custody,"1,518",113
2012,NL,Aboriginal,Male,In Custody,0,0
2012,PE,Aboriginal,Male,In Custody,0,0
2012,NS,Aboriginal,Male,In Custody,"1,293",40
2012,NW,Aboriginal,Male,In Custody,0,0
2012,YU,Aboriginal,Male,In Custody,0,0
2012,NU,Aboriginal,Male,In Custody,0,0
2012,National,Other Minority,Male,In Custody,"1,524","1,268"
2012,BC,Other Minority,Male,In Custody,"1,489",217
2012,AB,Other Minority,Male,In Custody,"1,434",168
2012,SK,Other Minority,Male,In Custody,"1,370",124
2012,MB,Other Minority,Male,In Custody,"1,695",70
2012,ON,Other Minority,Male,In Custody,"1,603",454
2012,QC,Other Minority,Male,In Custody,"1,516",184
2012,NB,Other Minority,Male,In Custody,"1,460",32
2012,NL,Other Minority,Male,In Custody,0,0
2012,PE,Other Minority,Male,In Custody,0,0
2012,NS,Other Minority,Male,In Custody,"1,359",19
2012,NW,Other Minority,Male,In Custody,0,0
2012,YU,Other Minority,Male,In Custody,0,0
2012,NU,Other Minority,Male,In Custody,0,0
2013,National,Black,Female,In Custody,"1,646",55
2013,BC,Black,Female,In Custody,0,0
2013,AB,Black,Female,In Custody,"1,218",3
2013,SK,Black,Female,In Custody,0,0
2013,MB,Black,Female,In Custody,0,0
2013,ON,Black,Female,In Custody,"1,752",45
2013,QC,Black,Female,In Custody,"1,301",4
2013,NB,Black,Female,In Custody,0,0
2013,NL,Black,Female,In Custody,0,0
2013,PE,Black,Female,In Custody,0,0
2013,NS,Black,Female,In Custody,942,3
2013,NW,Black,Female,In Custody,0,0
2013,YU,Black,Female,In Custody,0,0
2013,NU,Black,Female,In Custody,0,0
2013,National,White,Female,In Custody,"1,062",284
2013,BC,White,Female,In Custody,759,33
2013,AB,White,Female,In Custody,"1,181",42
2013,SK,White,Female,In Custody,"1,063",17
2013,MB,White,Female,In Custody,0,0
2013,ON,White,Female,In Custody,"1,125",75
2013,QC,White,Female,In Custody,"1,106",71
2013,NB,White,Female,In Custody,0,0
2013,NL,White,Female,In Custody,0,0
2013,PE,White,Female,In Custody,0,0
2013,NS,White,Female,In Custody,996,46
2013,NW,White,Female,In Custody,0,0
2013,YU,White,Female,In Custody,0,0
2013,NU,White,Female,In Custody,0,0
2013,National,Aboriginal,Female,In Custody,"1,139",191
2013,BC,Aboriginal,Female,In Custody,"1,324",31
2013,AB,Aboriginal,Female,In Custody,"1,222",76
2013,SK,Aboriginal,Female,In Custody,952,23
2013,MB,Aboriginal,Female,In Custody,"1,142",2
2013,ON,Aboriginal,Female,In Custody,788,35
2013,QC,Aboriginal,Female,In Custody,"1,292",10
2013,NB,Aboriginal,Female,In Custody,0,0
2013,NL,Aboriginal,Female,In Custody,0,0
2013,PE,Aboriginal,Female,In Custody,0,0
2013,NS,Aboriginal,Female,In Custody,"1,355",14
2013,NW,Aboriginal,Female,In Custody,0,0
2013,YU,Aboriginal,Female,In Custody,0,0
2013,NU,Aboriginal,Female,In Custody,0,0
2013,National,Other Minority,Female,In Custody,"1,536",49
2013,BC,Other Minority,Female,In Custody,"1,507",5
2013,AB,Other Minority,Female,In Custody,"1,589",9
2013,SK,Other Minority,Female,In Custody,882,3
2013,MB,Other Minority,Female,In Custody,0,0
2013,ON,Other Minority,Female,In Custody,"1,879",23
2013,QC,Other Minority,Female,In Custody,765,8
2013,NB,Other Minority,Female,In Custody,0,0
2013,NL,Other Minority,Female,In Custody,0,0
2013,PE,Other Minority,Female,In Custody,0,0
2013,NS,Other Minority,Female,In Custody,"1,461",1
2013,NW,Other Minority,Female,In Custody,0,0
2013,YU,Other Minority,Female,In Custody,0,0
2013,NU,Other Minority,Female,In Custody,0,0
2013,National,Black,Male,In Custody,"1,571","1,385"
2013,BC,Black,Male,In Custody,"1,490",64
2013,AB,Black,Male,In Custody,"1,522",99
2013,SK,Black,Male,In Custody,"1,288",22
2013,MB,Black,Male,In Custody,"1,732",11
2013,ON,Black,Male,In Custody,"1,553",807
2013,QC,Black,Male,In Custody,"1,723",235
2013,NB,Black,Male,In Custody,"1,461",80
2013,NL,Black,Male,In Custody,0,0
2013,PE,Black,Male,In Custody,0,0
2013,NS,Black,Male,In Custody,"1,613",67
2013,NW,Black,Male,In Custody,0,0
2013,YU,Black,Male,In Custody,0,0
2013,NU,Black,Male,In Custody,0,0
2013,National,White,Male,In Custody,"1,502","8,311"
2013,BC,White,Male,In Custody,"1,449","1,066"
2013,AB,White,Male,In Custody,"1,521","1,040"
2013,SK,White,Male,In Custody,"1,276",285
2013,MB,White,Male,In Custody,"1,430",241
